Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Year
201201BS70262,527270,179180,-0.167942,51.497188,1,3,1,1,25/05/2012,6,13:10,12,E09000020,3,4,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002819,2012
201201BS70263,528220,177840,-0.15475,51.484931,1,3,2,1,26/05/2012,7,12:20,12,E09000020,3,3212,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine with high winds,Dry,None,None,2,Yes,E01002901,2012
201201BS70265,528230,177840,-0.154606,51.484929,1,3,2,1,31/05/2012,5,13:36,12,E09000020,3,3212,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,2,No,E01002901,2012
201201BS70267,526520,177180,-0.179457,51.479382,1,3,1,1,03/06/2012,1,16:15,12,E09000020,5,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002841,2012
201201BS70268,524680,181100,-0.204556,51.51502,1,3,2,1,24/05/2012,5,09:15,12,E09000020,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002832,2012
201201BS70269,528130,178350,-0.155861,51.489535,1,3,3,1,07/05/2012,2,17:17,12,E09000020,3,3216,Single carriageway,30,,Automatic traffic signal,3,3214,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002902,2012
201201BS70270,524660,179410,-0.205441,51.499836,1,3,2,1,21/05/2012,2,18:30,12,E09000020,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002864,2012
201201BS70271,526170,179300,-0.183737,51.498513,1,3,1,1,25/05/2012,6,13:40,12,E09000020,4,325,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002890,2012
201201BS70272,523300,182720,-0.223867,51.529882,1,3,1,1,19/05/2012,7,09:15,28,E09000005,3,404,Single carriageway,30,,Giveway or uncontrolled,3,404,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002852,2012
201201BS70273,528030,178920,-0.157094,51.49468,1,2,1,1,05/06/2012,3,20:48,12,E09000020,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002863,2012
201201BS70274,526030,177530,-0.186385,51.482637,1,3,2,1,03/06/2012,1,21:18,12,E09000020,3,304,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002913,2012
